8
0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0
7;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0
0;3;5;0;0;12;20;15;0;0;0;0;0;0;0;0
0;8;4;0;0;15;18;19;0;0;0;0;0;0;0;0
0;0;0;12;15;0;0;0;4;6;0;0;0;0;0;0
0;0;0;20;18;0;0;0;13;5;0;0;0;0;0;0
0;0;0;15;19;0;0;0;5;7;0;0;0;0;0;0
0;0;0;0;0;4;13;5;0;0;20;25;0;0;0;0
0;0;0;0;0;6;5;7;0;0;12;15;0;0;0;0
0;0;0;0;0;0;0;0;20;12;0;0;3;4;5;0
0;0;0;0;0;0;0;0;25;15;0;0;8;5;12;0
0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;5
0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;10
0;0;0;0;0;0;0;0;0;0;5;12;0;0;0;7
0;0;0;0;0;0;0;0;0;0;0;0;5;10;7;0
