6
0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;7;2;5;3;0;0;0;0;0;0;0;0
1;0;0;0;5;4;2;8;0;0;0;0;0;0;0;0
3;0;0;0;3;8;3;5;0;0;0;0;0;0;0;0
0;7;5;3;0;0;0;0;10;15;8;5;0;0;0;0
0;2;4;8;0;0;0;0;6;8;4;9;0;0;0;0
0;5;2;3;0;0;0;0;8;2;17;13;0;0;0;0
0;3;8;5;0;0;0;0;3;5;5;11;0;0;0;0
0;0;0;0;10;6;8;3;0;0;0;0;2;3;6;0
0;0;0;0;15;8;2;5;0;0;0;0;1;6;8;0
0;0;0;0;8;4;17;5;0;0;0;0;5;5;5;0
0;0;0;0;5;9;13;11;0;0;0;0;8;4;4;0
0;0;0;0;0;0;0;0;2;1;5;8;0;0;0;3
0;0;0;0;0;0;0;0;3;6;5;4;0;0;0;5
0;0;0;0;0;0;0;0;6;8;5;4;0;0;0;4
0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;0
